"name","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cE_noOTA","cE_noOTA","cE_noOTA","cE_OTA","cE_OTA","cE_OTA"
"6,7-DIETHYL-1,1,4,4-TETRAMETHYLTETRALINE","1584526.77880127","1189315.27639994","2047302.5855954","339154.153859765","388844.345601563","305092.902229706"
"8-{[2-(Diethylamino)ethyl]amino}-3-methyl-7-(2-methyl-2-propen-1-yl)-3,7-dihydro-1H-purine-2,6-dione","2607172.92803455","2773447.79794729","2991113.58544104","723958.367136618","726714.89414526","684400.522032362"
"8-Amino-7-oxononanoate","1385723.20083111","961935.843654647","1264553.40468374","561027.812809445","601152.636438387","584355.930200741"
"9-Fluorobenzo[h][1,6]naphthyridine-5-carbonitrile","6935385.44371326","6838146.7231828","6803533.53318317","7108488.28303078","7060801.02637681","7161572.75829078"
"Acetyl-L-carnitine","32293372.2412365","28595501.2901871","35886614.5871397","56999407.9463152","69677912.5857064","74163714.4505398"
"Acetyl hexamethyl tetralin","783952.73399678","845201.380988587","796652.187025945","2382381.76310439","2045158.05642787","1579964.93993894"
"Alaremycin","1533131.92926109","1448130.46886847","1791967.70919724","2690371.1384134","2921431.17355768","3459705.93693444"
"Aleuritic Acid","223722.887903688","151303.414877744","268717.650725147","860196.253859325","1029628.98221547","784645.461213127"
"Alkyldihydropyrone B","385467.198596431","352062.897906654","348416.476028128","438736.766178775","342028.594557056","249201.935563466"
"Allahabadolactone A","807915.948700092","1123279.48564008","826082.03568434","1847795.5443611","1257458.68370097","1042144.4748594"
"allopurinol","3424519.92206861","2644726.66525488","3835252.69794569","5388850.41222702","6908810.86452497","9113796.26537441"
"AminoDHQ","1913004.44024641","2545717.65163642","1868033.1585158","298717.175615408","283849.116708754","282327.190204863"
"Antrodin D","1769325.75978619","1152938.82698558","2538097.04896958","1058918.70388206","1442791.12860702","1306217.12840411"
"Asenjonamide C","28130865.3966982","24139477.7842127","26936837.045294","160704.664771908","154647.630041521","143526.021677283"
"Besarhanamide B","1134002.33979509","869196.12111117","1140710.78409081","692751.251273555","653270.118051637","503965.814624173"
"Beta-Alanine","2427161.55936229","1428525.33092323","1543003.48520364","1780883.5108092","2173294.32022858","2004266.62834786"
"Betaine","358791722.708432","308032238.444286","356923234.427613","486280835.648001","424063663.69774","423887780.072766"
"Butylbutyrate","775419.587606883","1264245.30681941","1492134.4534827","2641466.20787881","2166933.49460853","2526358.72391085"
"Butyryl-L-carnitine","1273229.04157998","1034342.06840694","1411486.92245724","2632806.59932054","3058058.69755247","2709695.0324647"
"C10H11N3OP2","391894.511625747","404531.706559769","401450.886322948","533119.176760667","488010.867927368","501633.645817249"
"C12H14N10","101921.375973213","72237.6821971823","143261.568560237","795894.53078873","541623.289907029","683098.760471611"
"C12H27N4OP","351424.616704077","374547.312669661","339960.187239025","172694.954316138","213461.451707131","177262.182053982"
"C12H27N4P","121611.405611253","130755.988904337","131143.899479156","392191.051189549","429888.127398008","326129.575377684"
"C12H29N4O2P","733577.465058612","706835.381982285","919004.125656007","1943986.68279387","1556845.88865168","1236013.59722209"
"C12H29N4P","286193.010183607","270684.786479683","304435.495825331","109482.572345646","153334.471495136","125455.186626269"
"C13H25N4O2PS","267646.833061792","238311.923283487","279548.666187219","229762.172811648","284658.440296584","282879.424359047"
"C14-Carnitine","1104967.08094547","843061.086493804","1157538.21260553","962914.865173449","1088409.20451203","876467.755091422"
"C17H39P3","1251298.75275046","1189387.24281082","1260953.45113585","1444187.00005959","1768534.48092297","1730432.7978106"
"C18H37NO5","366092.686018525","322944.797609032","562252.52203548","61123.8205766324","358062.414789287","376059.919722198"
"C18H43N6OP","111642.937449308","91674.5157578679","94704.3513805333","76289.6227744449","86474.3345151491","90282.9808521718"
"C30H52NP3","190311.448901856","158711.248814522","189337.061567266","3888326.57447498","4331131.64520154","3437287.99100511"
"C3H11N8PS","2511930.60189527","2349457.50572737","2312395.21261223","2569488.56108825","2727225.03778676","2601127.74538544"
"C4H9N5O6","368751.242532889","347801.093190958","361096.028922148","2838657.52362782","2752684.75594047","2701602.79756489"
"C5H18N6O13","974296.375458416","1009974.81384901","1024219.2764188","460282.365735661","452122.88327277","451562.05636582"
"C6H16N6O4P2","2941457.57387756","2798819.59816377","2777776.12797468","2889046.18580179","3019130.79114525","2899569.70496985"
"C6H21N7O5P2","391507.602422796","399679.167651792","404770.807946128","385078.188685374","388686.13414633","390344.096351513"
"C8H14N10S2","1591120.42872852","1551530.12456616","1492638.48821269","3946799.65585444","3984241.9472082","4086826.36032977"
"C9H7N2O2P","550296.680239875","549984.907072197","542859.017011608","517590.064809449","470409.727642412","531351.568979467"
"Capsidiol","650945.29107774","510037.594800043","715195.698296444","145662.960100094","137940.581371285","118323.857808553"
"Catechol;1_2-Dihydroxybenzene","2012432.93735744","1934512.90117385","2224532.6277953","984195.190376357","1566652.79796037","1579510.420829"
"CH3NO5","561171.305282777","1636422.48626285","6637969.09428616","1907864.31607032","1703095.82968487","10394670.6373427"
"Chaetomellic acid B","4282559.54812201","3410844.6690977","4583458.30116856","5312068.17116906","4842245.87044773","3626236.07029314"
"Citreodiol","1079022.32331525","1526483.1294452","811143.086082035","4065930.5312544","5010657.381815","4844865.58279384"
"Confluenine A","3108062.07271753","2220409.92435472","3028775.50977769","846489.645791993","1093536.48714252","1625073.08093727"
"Cytidine;1-beta-delta-Ribofuranosyl-Cytosine","249700.708901809","220182.426555572","319935.692149286","259983.353235629","334751.472946954","761026.930652907"
"Cytosine","1948271.00280726","1634152.62429183","528965.862281747","392530.824041226","573065.60686196","1203395.1178082"
"D-Arabinonate","7145444.55771413","7055260.99579438","6973753.6699689","8207914.28306693","6098840.43444833","9833399.34851227"
"D-Pipecolicacid","16605066.7730038","10167745.987567","13743952.0572032","13538790.368951","11584604.7876458","10616315.3091202"
"D-Tryptophan","431446.704561063","261255.597856704","320459.530076655","178761.811022799","271650.853384634","427547.928497584"
"Decamethylcyclopentasiloxane","9257498.43743469","9054344.50932152","8864742.35633149","4798513.68991336","4737789.7287939","4812576.77907851"
"Decylbenzene","277541.109043957","173576.691969301","374244.401163991","146266.285038487","211487.168639543","182269.885953343"
"ETHYL LAUROYL ARGINATE","3580481.5660115","3472255.30675113","3322066.80526308","3678580.14521238","3698026.47747606","3701362.06709128"
"Ethyl N-Boc-DL-nipecotate","559720.599593708","409873.578117602","500998.324465543","450149.715391475","598006.562890309","661366.307859847"
"GLYCERYL RICINOLEATE","682232.897857099","510801.102680069","886063.289350115","210274.507382371","341280.263216263","236890.957827135"
"Hexadeca-5,9-dienoic acid","3012199.72262351","2478663.0731417","3777816.09925543","1482257.01968433","1822757.80835299","1651394.64048048"
"Hexadecanedioicacid;Thapsicacid","270843.719176323","154663.448064572","338186.529192035","397031.146051961","376397.587060328","361209.599688794"
"Icaridin","231287.587835912","343070.930519812","576045.804208023","481128.047372714","629674.31699949","470917.055728259"
"ID6475000","2568593.2167305","2281216.33006775","2341616.3091302","8365010.81703632","7287190.22390856","8084577.50361543"
"Indene","27135861.7398101","26078438.1283354","24990411.0316333","13952391.4942708","14890797.2769775","14706179.3180083"
"Indole;1-Benzazole","1544624.08005402","1221873.78640805","1429811.26057655","2923402.39723092","2272965.67324706","2538078.37196352"
"Isoprene","643515.230663994","609076.796003678","1563637.63833768","6546173.14083419","5443230.6376648","5172982.55169762"
"Laurolactam","353064.605762824","229897.499175722","354345.237337839","672469.243666042","1102508.68862054","532880.571181487"
