"name","area_2_1_15_S25_noOTA","area_2_2_15_S25_noOTA","area_2_3_15_S25_noOTA","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA"
"group","cA_S25","cA_S25","cA_S25","cA_S17","cA_S17","cA_S17"
"4-Amino-2-[bis(2-methoxyethyl)amino]butanoic acid","2904878.42229131","6586444.55019339","2659502.44005143","3317611.60623618","2710588.50023425","2940643.5399724"
"4-Cyanotetrafluoropyridine","1660004.11386469","1330391.19131487","666824.432353568","345021.458780321","4310864.40797402","1952918.30506831"
"4-Heptyloxyaniline","1317924.37059269","1756898.35202594","214739.746277775","485251.795252828","330209.721451898","494461.326551502"
"4-Nonanoylmorpholine","3853116.84864259","4924104.06586985","623525.577328313","1763993.49054803","1216459.43271492","1996319.93481431"
"5-Guanidino-2-oxopentanoate","11131969.6484751","13309532.6420797","9230182.66386865","11007600.7490567","5958461.34276915","9501775.22709909"
"5,8,11,14-Tetraoxa-2-azaheptadecan-17-oic acid","445423.739955614","542151.811095444","434143.790990443","532779.882756986","432617.048284885","446683.460876014"
"6-heptyl-2H-pyran-2-one","921209.671543568","1157179.67668854","1131822.23973763","188369.255623997","191069.370000357","267205.626150757"
"6,7-DIETHYL-1,1,4,4-TETRAMETHYLTETRALINE","445884.167121159","987710.236132045","740988.765301968","1584526.77880127","1189315.27639994","2047302.5855954"
"7-chloro-2-methylindene","411568.513344717","414454.704120352","422758.837550987","385003.638200019","370061.60207818","356808.258465825"
"8-{[2-(Diethylamino)ethyl]amino}-3-methyl-7-(2-methyl-2-propen-1-yl)-3,7-dihydro-1H-purine-2,6-dione","2216713.74942831","3441431.92693823","2561172.18953883","2607172.92803455","2773447.79794729","2991113.58544104"
"8-Amino-7-oxononanoate","1044733.19385645","2111526.62122087","992203.759638819","1385723.20083111","961935.843654647","1264553.40468374"
"9-Fluorobenzo[h][1,6]naphthyridine-5-carbonitrile","6780443.65611409","6777475.3365404","6823984.0114727","6935385.44371326","6838146.7231828","6803533.53318317"
"Acetyl hexamethyl tetralin","789435.095312951","987380.161039046","765490.748301384","783952.73399678","845201.380988587","796652.187025945"
"Alaremycin","3801112.27445936","5376455.89858225","3447180.02646382","1533131.92926109","1448130.46886847","1791967.70919724"
"Aleuritic Acid","431114.477219345","444086.833874011","337637.508124745","223722.887903688","151303.414877744","268717.650725147"
"Allahabadolactone A","958953.529139867","1190804.91750141","774022.811250135","807915.948700092","1123279.48564008","826082.03568434"
"allopurinol","6008591.35189205","9034491.58528466","5809594.72628432","3424519.92206861","2644726.66525488","3835252.69794569"
"Allyl 3-O-benzyl-2-O-(chloroacetyl)-6-deoxy-alpha-L-mannopyranoside","116621.39088825","174469.252305524","106337.814568884","106201.106669323","98781.3511553935","94840.9598370557"
"Alternaphenol B","123774.599246201","158240.33762408","114078.607661211","115745.279550734","96095.4563788794","119247.4227612"
"AminoDHQ","1959121.08698403","2054794.5335787","3181063.45446646","1913004.44024641","2545717.65163642","1868033.1585158"
"Antrodin D","562968.018407336","668744.322637012","575458.165618099","1769325.75978619","1152938.82698558","2538097.04896958"
"Asenjonamide C","3842668.46032335","7396844.84446127","4375808.76369982","28130865.3966982","24139477.7842127","26936837.045294"
"Atransfusarin","291463.421050044","519298.285051096","268147.013123691","277215.912626181","277175.110089609","360654.241143588"
"Benzylamine","558751.972189263","921546.982345924","581819.937741003","2085221.54799333","2315056.72280451","2840684.87800421"
"Besarhanamide B","387620.611610995","447940.763300273","502775.344608105","1134002.33979509","869196.12111117","1140710.78409081"
"Beta-Alanine","1757715.29065422","1498913.02619187","1474071.95947968","2427161.55936229","1428525.33092323","1543003.48520364"
"Betaine","372716955.599922","614433993.2741","362447181.587097","358791722.708432","308032238.444286","356923234.427613"
"Butylbutyrate","1336021.9159589","1966280.50221171","2007875.67028612","775419.587606883","1264245.30681941","1492134.4534827"
"Butyryl-L-carnitine","1023310.31533322","2895431.28440962","1193708.01735036","1273229.04157998","1034342.06840694","1411486.92245724"
"C12H23N4O2P","11315797.6763219","16476379.7382836","11366707.3311347","13493278.5011255","12617390.9454727","11495625.6425761"
"C12H25N4P","70854.0180838279","126781.601044026","80838.8190203651","288678.948218562","317203.17861705","277630.11555712"
