"name","area_11_1_856_S25_noOTA","area_11_2_856_S25_noOTA","area_11_3_856_S25_noOTA","area_11_1_15_S25_noOTA","area_11_2_15_S25_noOTA","area_11_3_15_S25_noOTA","area_11_1_92_S25_noOTA","area_11_2_92_S25_noOTA","area_11_3_92_S25_noOTA","area_11_1_856_J25_OTA","area_11_2_856_J25_OTA","area_11_3_856_J25_OTA","area_11_1_15_J25_OTA","area_11_2_15_J25_OTA","area_11_3_15_J25_OTA","area_11_1_92_J25_OTA","area_11_2_92_J25_OTA","area_11_3_92_J25_OTA"
"group","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA"
"C24H52N4O3S2","17125.2200344756","34649.9949981336","42206.4839135158","8840.1559730514","22279.5299554861","114411.534332532","44283.9260782967","30259.8346847058","167484.996400012","68202.3282119696","140567.360393954","73048.7103220922","43585.0595821221","22784.0492406457","16513.786490205","26706.4505816479","6209.64569941109","45200.9208370722"
"C26H49N2PS","306024.436319444","302842.20064086","297141.236558904","354723.450890745","280068.025237582","297975.755973172","360310.14362236","296802.268655973","330997.165493632","329731.640153156","26116.983817873","325853.390315205","324266.962357778","367463.704605417","333277.274366585","345745.75449545","310844.148197105","298287.101371354"
"C27H37N10O13P","504121.436157436","641589.644438137","782038.466439058","142529.989435458","480681.556090489","535177.517309086","89449.3700585587","280966.507352013","113097.432654825","104960.264018982","137949.055391715","396670.410849789","47483.7452808502","28235.8316812139","146942.185765623","75503.2157057213","139118.921320411","148079.413783042"
"C28H40","488300.951575589","350756.336480121","391213.901511302","467622.252752174","7574.71729678467","28132.6497540896","286063.609548533","42103.4791111221","95261.0014015661","309075.344325618","155109.297705292","27250.3018622809","138370.436773487","124991.956669605","6069.4624144171","322686.14415227","119661.304578048","464513.018563638"
"C29H44N2OP2S","122762.395460642","119690.351263984","120379.207576622","149651.956113821","6931.25184613101","16533.0577647747","294146.744524096","127155.281496409","82259.4204139638","191246.867718928","176430.5276635","39217.7835093835","120144.034063374","164331.974759675","10018.5941874223","128889.233507639","51621.8685040282","189841.254038553"
"C2H2O13P2","100169.46003883","105293.631230967","105922.20876573","99967.0297183344","92435.5721641128","97683.9962993283","117861.505385248","129729.643991111","121536.420568342","92871.8756943924","101975.166629083","99769.9977479056","110694.698447117","87250.6103056888","109483.578216848","93274.6598233993","85649.7662538285","109854.426656674"
"C2H8N3O2P","427237.137721616","546399.342715498","571679.36761529","1409462.12877959","924209.049396716","1158309.10495939","1289735.10648567","1053925.48381244","1859130.28816788","417661.941122014","540984.03268714","331181.194041719","763999.425696469","367006.461905707","723211.809601894","1226078.7707619","2074871.19887905","1171593.60713114"
"C30H44N3OPS","113318.736384096","104347.726346834","114655.089524604","184798.800778904","47351.4420021334","51939.1543080683","139307.521480377","91766.3075879851","79026.3363141983","135821.285998863","189023.598002163","97349.544294215","119315.632508148","168486.912171826","69667.3509451826","169417.312541347","116726.166345042","190521.198248658"
"C30H44N3PS","314005.543274182","258536.089674374","371683.719314787","276752.413377581","55917.1433090519","111135.2431952","325869.682780729","73993.5277348662","43085.5422205338","83392.605085328","69788.5053422045","73621.642111962","75895.1759367637","60013.9889083859","60271.750600394","33667.7377206604","57302.5905957964","35424.8407516244"
"C31H42O3P2","1237500.36444772","1437242.85778838","1552513.79171577","800577.275964049","609960.854187695","630904.91186439","968915.967122088","740902.890327796","843609.688106988","34221.3215437874","73129.45305957","41080.4496191339","35894.4101808237","60961.9551934161","22453.6342676226","48615.0722058509","42482.5934082935","62194.8115207265"
"C3H3N4O9P3S","29656.8063465566","39653.8215732608","40311.6190602511","24090.0868758274","40888.0088131182","34257.5493221678","33452.8159454797","48103.4417646434","47503.4545436532","27900.1027568426","17560.5443805761","27396.9422404054","22344.8609680679","38373.0881945339","14831.0336389813","18128.5340751296","33763.2509130453","33354.5640690127"
"C3HO7P3S","49592.9977242678","65002.2890393898","123774.18138608","215173.038097547","99349.7643921432","191978.034844299","213086.914793578","206741.466590156","206989.638401906","150014.000094929","80854.8715405523","77711.7216850965","157491.082704761","160517.22606134","121517.319544423","128884.228332777","100260.341458578","129677.698875298"
"C4H11N8O6P","659346.723861469","608953.593945496","589164.284205462","686911.215622004","481869.839942304","425384.635132505","717257.689864888","487147.624778564","559757.402148699","632271.879765683","657197.29723271","560729.02016901","633814.442697714","656014.532009231","475535.765094271","626942.389718668","605831.221772503","642754.147673095"
"C4H14N2O7P2","202077.342366751","195581.490407342","217210.216863829","212424.52149481","268874.016369889","345843.146652442","283335.255750289","363213.288430844","358081.930001336","97341.6086135252","144988.641371286","187735.557210398","207005.290288996","184446.095393453","257863.844467059","223988.415190427","247034.46988838","221579.633553661"
"C4H14N6O13","288602.102357692","280047.380323136","313654.63105566","329649.015591148","337336.562292431","303125.196535137","311622.528149038","309796.343535601","341508.6056872","331765.950023853","346391.968308061","330643.672160304","343603.853257345","346572.043573929","323636.602055443","323408.895033421","327220.724348848","319469.218965736"
"C4H9N5O6","382855.51365232","425642.971824261","427874.584386887","446847.040390304","450584.318898942","411743.683496111","385056.690462385","451469.118882199","434631.832572966","418431.595034197","403944.453085681","418691.592528444","456393.247449631","444716.272400198","414107.719238912","438761.260460607","415425.979978265","426165.425698711"
"C4H9N8O5P","3025806.09756568","2912348.66530228","3012059.24368183","3121453.70994112","3190778.08243232","3055163.93711491","3191248.43193896","3083650.56417533","3212023.06830075","680561.886836459","695051.076404587","740164.822814705","738324.204447975","756265.770177897","733664.523778646","711195.590053985","706109.430089353","689209.392228651"
"C5H11ClN8O5","257441.944757273","222823.887133086","270149.864281574","249883.612385965","149375.667532744","231755.485251502","254207.189249217","217154.105038469","298573.703646489","58472.5087385392","69448.3070819193","80447.5915829649","80680.6514562335","83010.0843357267","92473.1054623827","78843.6988013206","92593.8190726226","81119.4177765583"
