"name","area_8_1_15_S25_noOTA","area_8_2_15_S25_noOTA","area_8_3_15_S25_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cB_noOTA_S25","cB_noOTA_S25","cB_noOTA_S25","cB_OTA_S17","cB_OTA_S17","cB_OTA_S17"
"15,16-Diisopropyl-3,6,7,10,13,14-hexamethylpentacyclo[10.2.1.1~5,8~.0~2,11~.0~4,9~]hexadeca-2(11),3,6,9,13-pentaene","247984.050072433","421372.056048595","384485.153173628","119236.067404565","207088.979069261","265533.203987227"
"16-Heptadecynoic acid","115006.567280234","138909.334654104","121752.233138345","132228.32337114","169800.833958164","160398.163593857"
"16-Methoxy-16-oxohexadecanoic acid","1787950.60239148","2660539.56374582","2095682.59356751","2234233.03745928","2850382.41793124","2989134.55243911"
"17a-Estradiol","1025910.75420741","1100625.93130746","420771.003373174","1639145.69857643","1006771.32809887","772671.893670716"
"18S-hydroxyneodihydroprotolichesterinic acid","325603.249584296","182227.770939317","126139.21825623","185635.427981566","193683.933898982","143925.371411886"
"2'-Deoxyinosine","1147177.75834549","1654759.95966649","1422036.07192256","5708713.96861661","7158408.66460062","6642221.96795124"
"2-(2,4-Dimethoxyphenyl)-N-(4-{[(4-methylphenyl)sulfonyl]amino}phenyl)-4-quinolinecarboxamide","764842.097216643","808452.441138703","820440.743109432","836868.303276025","806259.546026675","785859.311918043"
"2-(3'-methylthio)propylmalate","68014993.8262361","68131435.6519442","70034105.9343607","65076349.6202463","66532645.8257987","65746958.6752807"
"2-(4-Methyl-4H-1,2,4-triazol-3-yl)ethanamine","313338.890635448","452359.225699517","335110.018166043","215829.779881302","205559.645498171","195386.114071042"
"2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine","279151.748130823","386499.832942112","389824.468344314","193467.829367122","341439.353364773","321836.92210459"
"2-(Hydrazinocarbothioyl)hydrazinecarboxamide","3254814.48807734","3391712.18446199","4883418.19766152","3248517.53111042","3412389.97117099","4638749.48267466"
"2-(morpholinomethyl)-4-(2-phenyldiaz-1-enyl)phenol","125704.70711094","165660.457711423","137934.896392713","494592.762154246","697584.271411367","694859.741522424"
"2-[(1E)-1,3-Butadien-1-yl]-1H-pyrrole","2496738.03153619","3023803.01601736","2700299.96129964","1262141.64546041","1452856.69578188","2689076.12269812"
"2-[(DIOCTYLCARBAMOYL)METHOXY]ACETIC ACID","569383.023030291","763551.388280707","517992.796149021","571051.238826369","581785.192703104","537621.659662634"
"2-[2-formyl-5-(methoxymethyl)-1H-pyrrol-1-yl]acetic acid","566824.69284867","3060380.33565821","2357902.78492121","389865.866911272","500916.714663213","599728.83885477"
"2-{[4-(Cyclohexylamino)-1-methyl-1H-pyrazolo[3,4-d]pyrimidin-6-yl](ethyl)amino}ethanol","252488.876276797","519613.816355397","286491.774222626","2480587.62363089","2528814.0149302","2615677.4033615"
"2-{1-[(TERT-BUTOXY)CARBONYL]AZETIDIN-3-YL}PROPANEDIOIC ACID","160125.344019461","218399.038334127","168017.987932253","255620.351353587","258955.65944593","261095.692791585"
"2-Hydroxy-3-oxopropanoate","427817.150803565","587540.159132838","491793.440817461","1075056.02989422","1185980.74374851","1191723.81940083"
"2-Methyl-2-propanyl 4-[(4-{[3-(dimethylamino)-2,2-dimethylpropyl]carbamoyl}-1-piperidinyl)carbonyl]-1-piperidinecarboxylate","1253596.56716579","1196254.71286799","1160924.89561922","658390.658955088","658648.845111312","608208.19835262"
"2-Oxo-delta3-4_5_5-trimethylcyclopentenylacetate","2058714.43323815","2456698.62681174","1333896.5871424","4562525.07158051","3520116.73534367","3315528.96954302"
"2-Oxooctadecanoicacid","935535.239626339","928739.160521734","816004.388831703","686504.343154029","1012481.11938777","1010162.40062929"
"2-Oxovalericacid","334570.930670009","363881.213960087","322358.387351342","12910004.9881399","19090426.8615913","18158546.0042265"
"2-Phenylpropan-2-ol","3685287.31031875","4272942.19069798","2414749.56441455","7751825.75327524","6059255.89716519","5628398.76950607"
"2-tert-Butoxycarbonylamino-6-formylamino-hexanoic acid","1624095.82573819","3262477.57478089","2860288.08050558","722462.784061166","1416959.12015386","1691226.02445281"
"2,2-Dinitro-1-propanol","223369.63237622","307713.276669344","821593.350541266","649272.38564623","600628.798654573","3477769.31252864"
"2,3-Dibromothianaphthene","332269.55365008","652603.517840398","337739.758508376","573888.039779833","510449.278841744","474088.016730263"
"2,3-Dinor-11β-prostaglandin F2α","1001129.7747934","1188069.48449553","483334.32225207","1518024.36361727","1010738.02987184","840766.88285499"
"2,6,10-trimethyldodeca-2,6,10-triene","71393.0955665017","92806.5104896674","80908.3547014339","87808.5489285029","112578.858994916","103260.585908078"
"2_2'-Iminodipropanoate","31007031.3744246","45916290.4844282","57446133.5866643","5317044.89464014","11348762.4271184","10534274.3636793"
"2_5-Dihydroxybenzaldehyde","1001741.69971508","2667013.8318664","3560795.42125566","760343.352439387","1239209.39240715","1338844.42000241"
"2E_6E-farnesol","79101.6930846724","98729.5708470714","80240.9980271375","89243.4525491262","101468.733070426","92725.5072971427"
"3-(1-Boc-4-piperidyl)-1-propanol","3257626.75315227","8774064.87616845","2469802.23853932","5927433.86313412","8721896.04106697","6503779.49074629"
"3-(2-CHLOROETHYL)-2,4(1H,3H)-QUINAZOLINEDIONE","1656699.40756193","1690630.1876905","1807761.36401471","1300477.80686189","1328334.57041854","1383165.87215147"
"3-[(3-Hydroxydecanoyl)oxy]decanoic acid","112126.773500021","157291.892231155","129512.318070761","112007.909879958","141157.105317417","111288.911161142"
"3-[(5-Amino-6-chloro-4-pyrimidinyl)amino]-2-nonanol","29280086.0485097","30692575.1386584","22601955.7927432","31419349.3801625","37568565.9212304","35701738.0311427"
"3-amino-4,5,6-trihydroxy-2-methoxy-5-methyl-2-cyclohexen-1-one","8756121.61142715","20481654.7470381","16533522.8803924","14912528.1866999","15854268.2978739","17966941.3971565"
"3-Amino-N-(3,4-dimethoxybenzyl)-6-methyl-4-(trifluoromethyl)-5,6,7,8-tetrahydrothieno[2,3-b]quinoline-2-carboxamide","873929.776515755","983707.079193019","958003.613553612","901296.957748177","289652.341156113","951528.964884596"
"3-Dehydrocarnitine","1657997.21614634","1793992.45411317","1457376.35221534","6621171.688219","5389634.89960538","5420032.49285581"
"3-Dehydroxycarnitine","7214105.37832185","8201423.72539184","6255905.44372757","6737353.30563217","6860327.92588219","7017564.28848213"
"3-Ethyl-o-xylene","1013376.03145931","1372386.3407172","955023.834943542","1936416.23996343","1870124.59386555","1942495.46873755"
"3-hydroxy-1H-quinolin-4-one","1148427.88043575","4335109.69501073","3386325.96625694","1487982.72479925","1836165.53598524","2062737.01552357"
"3-hydroxy-2-methyl-1H-quinolin-4-one","434546.731221291","2095825.96839507","1678567.78578461","537456.423293083","664635.424896224","647250.530349992"
"3-Hydroxy-2-methyl-4-pyrone","5600558.33461333","8027570.26941795","6706579.80983386","5930474.46962224","7298033.47080439","7202529.26749692"
"3-hydroxy-N-(1-hydroxy-3-methylpentan-2-yl)-5-oxohexanamide","1190365.52203069","1232434.22662184","1350511.70691747","1137699.65348673","1297740.27290714","900696.903869384"
"3-Hydroxyaminophenol","617102.26388447","783747.885542039","711676.53178255","745458.692433094","817837.098221378","660347.443922793"
"3-Hydroxycyclohexanone","1499405.72281708","1691235.27972304","1869147.44695909","1699076.78618016","1576753.58345904","1899117.06269484"
"3-Methoxy prostaglandin F1α","153407.095600422","120179.273341825","88521.7948791602","245992.044860566","213079.847501488","148902.845470117"
"3-Methyl-1-(2_4_6-trihydroxyphenyl)butan-1-one","632943.829249434","901357.55774218","746597.10013788","347663.135316964","586482.029381787","577029.970738817"
"3,5-Difluoro-4-(tributylstannyl)pyridine","574305.384585969","607540.515922894","595019.838616848","609551.432617185","548087.864117544","547614.198586053"
"3_6-Nonadienal","929275.186296671","1363261.93375686","1335705.11588587","1001812.07930642","1185545.10000065","1294692.66390875"
"4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole","3061569.1068781","3158016.32294187","3170865.4714778","3034772.64067012","2949590.76648451","3016976.35744393"
"4-[(E)-(4-Aminophenyl)diazenyl]-2-chlorophenol","472781.918209179","490780.825891737","491062.621185868","452897.779003959","452831.242242811","490216.002402974"
"4-Amino-2-[bis(2-methoxyethyl)amino]butanoic acid","5259018.69990317","4482374.58403289","3014831.84761334","5165442.22257996","4412694.82095397","5386060.74885197"
