"name","area_2_1_15_J17_noOTA","area_2_2_15_J17_noOTA","area_2_3_15_J17_noOTA","area_2_1_15_J25_noOTA","area_2_2_15_J25_noOTA","area_2_3_15_J25_noOTA","area_10_1_15_J17_OTA","area_10_2_15_J17_OTA","area_10_3_15_J17_OTA","area_10_1_15_J25_OTA","area_10_2_15_J25_OTA","area_10_3_15_J25_OTA"
"group","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA"
"1-(4-Hydroxyphenyl)-2-aminoethanol","7470862.32489051","2782722.68531811","822644.924349331","29397517.6825342","14652616.6955226","20442042.2885401","118733.068972533","187796.709941649","143218.05307131","1000304.57455643","371202.807445229","270386.885522768"
"1-(5,5,8,8-Tetramethyl-5,6,7,8-tetrahydro-2-naphthalenyl)ethanone","379222.878527847","291776.557259177","186246.679336731","10355.5136494915","126717.27078217","135680.621206287","28917.6369020628","40077.9573174648","26990.1293561159","118510.126794212","79567.9116652934","66893.9916071068"
"1-(Cyclopropylmethyl)-L-proline","515127.49006506","458940.163568647","366859.657522341","356290.730056803","429707.895979738","414390.357163905","444734.02608303","299876.764668452","334602.510591538","411820.386158407","370603.028963818","249598.320073533"
"1-(Dimethylamino)-1,3-propanediol","2967106.5988989","742567.377915952","5168078.44536126","30085482.8072228","8136892.46122836","5972332.9774525","1845158.56910557","3008791.07879978","3286383.24607648","5270859.15528378","2241754.82177953","14098158.2348675"
"1-(Dimethylsilyl)-1H-pyrrole","687584174.565768","681788431.643867","678334694.60775","680715503.369513","667893310.735976","669528320.590325","676004357.08801","678968606.384444","671794590.094985","682716527.449538","668552898.924127","665533264.570139"
"1-Amino-3,6,9,12-tetraoxahexadecan-16-oic acid","303004.998423603","280583.665035657","280859.712857604","300938.255708286","296318.304292568","301702.889040488","352165.098460904","369196.25045262","344055.141094464","603813.49459475","589352.407654928","353414.770760733"
"1-Boc-1,10-diaminodecane","486165.452294224","655547.255147621","626324.926474578","629962.731720318","928260.011901236","838159.373630158","852262.79561924","480885.429441302","876136.953256946","725919.70721648","949691.188606639","489659.087981561"
"1-Boc-4-Vinylpiperidine","452550.802708433","942073.851905906","448826.821447495","444439.557059548","916908.525921662","802214.526290254","725638.402369211","357022.174045002","884403.329253995","609250.516229688","560411.785242436","672654.108194416"
"1-Carbethoxy-4-aminopiperidine","1019177.13769513","641076.985367963","381512.962909057","134026.230239326","175540.851074623","153432.600259736","459034.302490442","675827.366777968","1025022.90391494","653920.513264011","1086559.08173997","209640.273099253"
"1-Cyclooctyl-4-phenyl-1-butanone","1683062.45456588","1920321.93649036","902036.630143335","627575.782659643","996376.517320163","1043634.87403069","428310.185432234","406914.430703302","338424.889091972","804275.313087346","412960.313165629","502669.925069184"
"1-deoxynojirimycin","796951.529812687","766965.764101372","730266.27310663","746521.714839225","608036.781772592","623574.458291598","1095114.52258856","1524535.5073975","1287325.53626832","1456249.50938715","1882949.54124066","2030690.52372665"
"1-Ethyl-2-(2-propyn-1-yl)-1,2,3,4-tetrahydroisoquinoline","316969.699716954","374784.000052389","355109.798235855","157034.17475676","356192.326672177","365952.035106354","306528.533075837","322177.916743668","366453.229192857","326788.601485496","328197.232753957","351681.852565288"
"1-Linoleoylglycerophosphocholine","152866.179794723","74887.3584878055","110245.335288583","114241.174164022","238368.903968703","116904.598999115","10808183.9617139","6422190.89692016","12074545.5573873","14466881.8002112","13183357.0061543","3264222.74679607"
"1-Methoxy-dec-2-ene-4,6,8-triyne","6793493.90933243","6761215.22448982","6627622.71148879","6751834.56672485","6527221.59983297","6724571.0499472","6769532.08461939","8226314.62492108","6879918.4821649","6727155.28404113","6880870.61165985","6726808.08654492"
"1-Methylpyrrolinium","267141.663955582","377311.80693364","171402.494701876","417561.549532892","267019.244058296","1211069.86544838","1908222.43658227","511430.223851854","781173.518606996","1527529.68673955","1248350.22002211","401663.84872835"
"1-β-D-Arabinofuranosylcytosine","3005892.32923275","9303598.15744389","4257024.18188355","1119436.42017914","203374.252557622","398872.555774518","936413.601841774","1026156.61936776","2363993.44500361","1168095.60668812","1747536.3387104","1243165.35920042"
"1(2H)-Isoquinolinone","129481.830502621","300099.71338051","70257.6650141754","1119553.61250446","233402.030457479","238326.947908884","32572.5064918152","84483.3009383846","77160.0727063707","477344.395748342","1270089.26165025","89149.3108852851"
