"name","area_2_1_15_S25_noOTA","area_2_2_15_S25_noOTA","area_2_3_15_S25_noOTA","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA"
"group","cA_S25","cA_S25","cA_S25","cA_S17","cA_S17","cA_S17"
"[FAtrihydroxy(18:0)]9_10_13-trihydroxy-11-octadecenoicacid","1301009.52506613","1451622.63292491","1249953.92478476","1480834.5574693","1207272.85797196","1602964.92003323"
"[STtrihydrox]3alpha_11beta_21-5alpha-trihydroxy-pregnane-20-one","4798.92202729852","4798.92202729852","4798.92202729852","119516.134282803","142430.346118349","151674.544991954"
"{3-[(E)-2-(1,3-Benzodioxol-5-yl)vinyl]-2-oxiranyl}(1-piperidinyl)methanone","117093.016585736","168905.771171369","145092.679872358","4798.92202729852","4798.92202729852","4798.92202729852"
"1-(1H-1,2,4-Triazol-1-yl)-2-propanamine","211120.56594161","315706.613695786","257974.148384048","4798.92202729852","4798.92202729852","4798.92202729852"
"1-(2-Cyanoethyl)-4-piperidinecarboxamide","4798.92202729852","4798.92202729852","4798.92202729852","119234.704108986","385718.761480373","416498.99261003"
"1-(2-Fluorophenyl)-3-(5-quinolinyl)thiourea","818412.954989352","864795.111434568","833187.884794965","4798.92202729852","4798.92202729852","4798.92202729852"
"1-(2-Naphthyl)ethanol","4798.92202729852","4798.92202729852","4798.92202729852","228913.260967986","215273.883844739","173037.311270064"
"1-(4-Hydroxyphenyl)-2-aminoethanol","16680550.5293646","28075380.9005207","17500059.8108095","67795363.4921691","70021843.8927846","92846590.1548655"
"1-(Dimethylsilyl)-1H-pyrrole","787296596.172802","833382193.136507","828493682.296224","766380724.975262","773888592.466837","755894379.543855"
"1-[(3R,4R)-3-(1-Azepanylmethyl)-4-(hydroxymethyl)-1-pyrrolidinyl]-2-hydroxyethanone","113312.033912586","167295.812516559","85109.2312357543","253567.379508446","410855.047060635","455944.779186923"
"1-[(5-Chloro-2-thienyl)sulfonyl]-4-piperidinone","50452.2099447143","45841.4457242965","43541.9565564764","27889.1213970049","30438.2936977284","29666.2301748697"
"1-[(Z)-{[(2E)-2-(Hydroxyimino)propyl]oxy}-NNO-azoxy]-2-propanol","854003.094855439","1001061.36281065","694673.137953056","4798.92202729852","4798.92202729852","4798.92202729852"
"1-{[1,2,4]triazolo[1,5-a]pyrimidine-2-carbonyl}-1H-imidazole","118996.835221693","84141.3388227484","114980.076435179","4798.92202729852","4798.92202729852","4798.92202729852"
"1-Boc-4-Vinylpiperidine","527601.254222434","771372.48438128","280972.828523999","327121.867988462","439804.932871238","645195.917477471"
"1-BOC-Piperazine","640591.137444414","644163.44429816","605973.456677172","4798.92202729852","4798.92202729852","4798.92202729852"
"1-Cyclooctyl-4-phenyl-1-butanone","387963.676630229","638140.574256169","382874.940294797","489289.382604814","491445.338713828","541553.712465592"
"1-Methoxy-dec-2-ene-4,6,8-triyne","3081048.42645773","3108015.92539568","3146545.51881427","4798.92202729852","4798.92202729852","4798.92202729852"
"1-Methylpyrrolinium","2625796.4810673","3247816.48406325","2545818.63490904","3976844.80461089","3103049.7897666","3780365.23021195"
"1-Morpholinocyclododecene","103155.11019791","139662.92085268","144805.276124111","4798.92202729852","4798.92202729852","4798.92202729852"
"1-O-Acetyl-D-glucitol","92804.1653556612","133130.120916278","125693.64150097","168831.373044327","204409.29427124","150816.809828955"
"1-Palmitoyl-2-hydroxy-sn-glycero-3-PE","306051.84437984","518951.503693871","331528.05770221","533839.602964297","289248.858202617","383785.228575689"
"1-palmitoylglycerol;MAG(16:0)","2665199.14405764","3468489.51765096","3965221.23426722","1536318.94203184","928090.571178616","2158305.37571412"
"1-Palmitoylglycerophosphocholine","4798.92202729852","4798.92202729852","4798.92202729852","428715.486019592","294866.092123973","420768.063023213"
"1-Phenylhept-3-en-4-one","4798.92202729852","4798.92202729852","4798.92202729852","1122496.6160205","871150.034372202","1033321.37825619"
"1-Phenylheptane-1,5-dione","109826.427625541","125770.961021306","116044.548574557","4798.92202729852","4798.92202729852","4798.92202729852"
"1-Pyrroline","4181868.14860145","6282043.1886196","4062520.10226313","3392156.81022751","2517504.68493848","3249691.11015878"
"1-Pyrroline-4-hydroxy-2-carboxylate","1827186.39623201","2221233.17829328","1024942.41391965","581046.900829623","1414024.13075893","1333710.8716842"
"1(2H)-Isoquinolinone","9255113.06452714","14490694.5273957","10200239.0836058","15179558.0594424","11744233.8598402","15760914.2018076"
"1,1'-(1,4-Phenylene)bis{3-[2-(dimethylamino)ethyl]urea}","2324860.92460246","3388747.24025567","2756714.47413633","4798.92202729852","4798.92202729852","4798.92202729852"
"1,1,6-Trimethyl-1,2-dihydronaphthalene","4798.92202729852","4798.92202729852","4798.92202729852","212387.678574581","144218.17693215","215123.140910216"
"1,2-Divinylbenzene","1741700.86768705","1701762.55865685","1695451.85034058","4798.92202729852","4798.92202729852","4798.92202729852"
"1,3,6-Octatriene","29249598.8878497","39482998.9219965","39234647.1742993","21970826.1500997","28012316.1749002","31483303.4908139"
"1_2_4-Trimethylbenzene","316369.050341856","380748.09168277","319522.85257253","389674.315163968","426806.118623022","392755.458404532"
"1_5-Anhydro-D-mannitol","175641.123455437","315090.251718513","295822.636293782","4798.92202729852","4798.92202729852","4798.92202729852"
"1_6_6-Trimethyl-2_7-dioxabicyclo[3.2.2]nonan-3-one","223402.619277897","334501.217925081","226438.365502719","268098.921577656","259257.037331519","311384.426125511"
"1_8-Diazacyclotetradecane-2_9-dione","7698089.64600988","8327058.56148359","8195771.3224126","4798.92202729852","4798.92202729852","4798.92202729852"
"10-(3,4-Dichlorobenzoyl)-11-[4-(diethylamino)phenyl]-3-(4-fluorophenyl)-2,3,4,5,10,11-hexahydro-1H-dibenzo[b,e][1,4]diazepin-1-one","342061.007114459","344727.409140085","338975.809516527","375683.348738495","380301.028742068","345222.987249105"
"10-hydroxydecanoicacid","185417.127986043","250334.336665778","204586.915229399","4798.92202729852","4798.92202729852","4798.92202729852"
"10_16-Dihydroxyhexadecanoicacid","387731.622735109","454218.476995947","286207.264093096","1376330.77912088","997488.712624685","1671805.99269727"
"10E,14Z)-9-oxooctadeca-10,14-dien-12-ynoic acid","448826.977185731","557726.879325266","509270.514152647","524273.782575033","511456.001257874","573307.76251337"
"11-(4-Hydroxybutoxy)undecanehydrazide","240626.087529333","301152.716842609","83404.3620148579","104477.50997126","166269.933359881","224330.271252595"
"12-Aminolauric Acid","127013.859988834","115641.779694021","128019.862999531","139209.105554918","74054.8746657224","130448.769438564"
"13-Decyl-1,4,7,10-tetraoxa-13-azacyclopentadecane","234157.946858865","339381.850877178","284027.05540433","575562.584040767","427911.322381898","535649.519990719"
"13-hydroxy dechlorofontonamide","104931.193346159","132487.474158581","141281.44261308","4798.92202729852","4798.92202729852","4798.92202729852"
"17a-Estradiol","996199.194551802","1287912.18564714","804564.071492012","792913.287138283","1177846.99100796","779071.12946135"
"18S-hydroxyneodihydroprotolichesterinic acid","4798.92202729852","4798.92202729852","4798.92202729852","515070.862151957","464450.896918014","598025.695770862"
"2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid","1322985.29617366","2952882.13110606","976336.348291339","688293.071869134","422482.445039707","585776.418239536"
"2-(2-Thienyl)piperidine","131404.944322586","524139.914806096","228154.211041495","328973.491137995","182303.80183962","252980.599328654"
"2-(2,3-Dihydro-1-benzofuran-5-yl)ethanesulfonamide","4798.92202729852","4798.92202729852","4798.92202729852","1459869.71799652","1271228.59173964","1945516.25177476"
"2-(2,4-Dimethoxyphenyl)-N-(4-{[(4-methylphenyl)sulfonyl]amino}phenyl)-4-quinolinecarboxamide","779686.099323327","759578.580666925","744245.878033966","817363.511635398","789374.736836859","774690.487166384"
"2-(3'-methylthio)propylmalate","65477056.3023305","64065431.8383313","64478463.5057313","65878180.1059374","62482087.1096125","63968143.2591974"
"2-(4-aminophenylthio)acetic acid","3337217.77117957","3752338.67576239","3228913.06960361","4091815.08189044","3001926.95649325","5115359.79712368"
