"name","area_11_1_856_S25_noOTA","area_11_2_856_S25_noOTA","area_11_3_856_S25_noOTA","area_11_1_15_S25_noOTA","area_11_2_15_S25_noOTA","area_11_3_15_S25_noOTA","area_11_1_92_S25_noOTA","area_11_2_92_S25_noOTA","area_11_3_92_S25_noOTA","area_11_1_856_J25_OTA","area_11_2_856_J25_OTA","area_11_3_856_J25_OTA","area_11_1_15_J25_OTA","area_11_2_15_J25_OTA","area_11_3_15_J25_OTA","area_11_1_92_J25_OTA","area_11_2_92_J25_OTA","area_11_3_92_J25_OTA"
"group","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA"
"(3S,6S,10S)-3-Benzyl-4,6-dimethyl-5,8,12-trioxo-N-[2-(2-oxo-1-pyrrolidinyl)ethyl]-3,4,5,6,7,8,9,10,11,12-decahydro-2H-1,4,7,11-benzoxatriazacyclotetradecine-10-carboxamide","98173.999420863","100982.654504096","110737.945438603","71441.3892913212","55308.2780304825","56670.663436195","97684.1970118525","61936.2643047685","78879.3513866978","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(3Z,6E)-1-N-methyl-3-benzylidene-6-(2R-methyl-3-hydroxypropylidene)piperazine-2,5-dione","377115.634206979","646670.634785892","400739.365443942","475014.354477759","82918.5207137858","147173.74379583","63653.7620987799","56662.0515077997","175462.680551869","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(4-Oxo-1,2,3-benzotriazin-3(4H)-yl)acetic acid","4828.76769627979","4780.95258063949","4872.96720664075","126806.999360475","455213.461478284","511977.810083514","20584.1038820958","58141.6309195133","111212.561515806","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(4E)-2-Oxohexenoicacid","31382768.3697744","33645295.0668854","22725569.7700226","69458246.5262766","60258410.968667","75718044.7543363","34941548.8250451","38922103.9557409","32569888.6673464","41044109.5097586","49197596.5021439","42054936.7104447","86338338.9723006","100799112.72436","145766017.612215","32012934.4195169","91585571.0500841","29169775.1541664"
"(4S)-4,8,10-trihydroxy-10-methyldodec-2-en-1,4-olide","324785.78965104","276564.992509487","304659.893285379","59379.5772423533","99120.1079401695","103034.85727207","29157.7832465712","54985.845973838","37080.1232941854","132131.492185133","16659.4835022112","95266.8081277563","157999.095790574","328622.108042925","201323.5723743","8539.0429755314","18615.5689035716","9423.95462551509"
"(4S)-4_6-Dihydroxy-2_5-dioxohexanoate","1787084.3682918","1709559.52559647","1837723.14637843","1414220.0379585","1893184.50855261","1809121.99865804","1413436.25259359","1872160.96689054","1885110.22533936","1972564.6637983","1801129.91340006","1826493.86770372","1817039.94134492","1892866.73552762","1829007.08116421","1748093.79603281","1777305.12661844","1793343.10498706"
"(5-Bromo-1,2,3-thiadiazol-4-yl)methanesulfonyl chloride","113495.400581805","115592.051146127","124527.363024544","158454.152667549","188880.061138016","208532.009922168","295688.719030041","340358.078654042","430628.902209957","68005.9426973424","47248.7566252076","81382.2984491078","2636.9418909216","2495.57203502229","3062.06104068458","68027.9721685452","41270.7520827267","49868.0676304201"
"(5E)-7-{4-Hydroxy-2-[(1E)-3-hydroxy-1-octen-1-yl]-6-oxotetrahydro-2H-pyran-3-yl}-5-heptenoic acid","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","90658.7058859107","183047.778569861","203551.497646331","205999.710261779","200505.37239674","171681.818964095","236378.246960603","82981.9662385453","195642.870478045"
"(5Z)-8-Hydroxy-5-(hydroxyimino)-7-methyl-5,8-dihydro-4H-pyrano[2,3-b]pyridin-4-one","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","122955.575427207","87934.3205816077","92383.8359247262","167809.013140883","71025.6475174916","189036.731398251","201042.358690072","334892.647735519","150491.079386549"
"(6RS,10RS)-6,10-dimethylbicyclo[4.4.0]dec-1-en-3-one","193112.545672586","155498.722246212","184013.070428265","171356.16395346","179816.788196288","162707.019432024","316216.122565871","301735.54434426","316976.524627132","333526.258635704","247388.860692318","306720.682406901","301656.818346913","217139.16774609","185602.870916098","426480.886667643","505083.715059377","525298.5733321"
