"name","area_8_1_15_S25_noOTA","area_8_2_15_S25_noOTA","area_8_3_15_S25_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cB_noOTA_S25","cB_noOTA_S25","cB_noOTA_S25","cB_OTA_S17","cB_OTA_S17","cB_OTA_S17"
"2-(Hydrazinocarbothioyl)hydrazinecarboxamide","3254814.48807734","3391712.18446199","4883418.19766152","3248517.53111042","3412389.97117099","4638749.48267466"
"2-(morpholinomethyl)-4-(2-phenyldiaz-1-enyl)phenol","125704.70711094","165660.457711423","137934.896392713","494592.762154246","697584.271411367","694859.741522424"
"2-[(1E)-1,3-Butadien-1-yl]-1H-pyrrole","2496738.03153619","3023803.01601736","2700299.96129964","1262141.64546041","1452856.69578188","2689076.12269812"
"2-[(DIOCTYLCARBAMOYL)METHOXY]ACETIC ACID","569383.023030291","763551.388280707","517992.796149021","571051.238826369","581785.192703104","537621.659662634"
"2-[2-formyl-5-(methoxymethyl)-1H-pyrrol-1-yl]acetic acid","566824.69284867","3060380.33565821","2357902.78492121","389865.866911272","500916.714663213","599728.83885477"
"2-{[4-(Cyclohexylamino)-1-methyl-1H-pyrazolo[3,4-d]pyrimidin-6-yl](ethyl)amino}ethanol","252488.876276797","519613.816355397","286491.774222626","2480587.62363089","2528814.0149302","2615677.4033615"
"2-{1-[(TERT-BUTOXY)CARBONYL]AZETIDIN-3-YL}PROPANEDIOIC ACID","160125.344019461","218399.038334127","168017.987932253","255620.351353587","258955.65944593","261095.692791585"
"2-Chloro-N-[1-(5-methyl-1,2,4-oxadiazol-3-yl)cyclohexyl]acetamide","3138.1447156551","3138.1447156551","3138.1447156551","285299.733532838","291817.030308923","295870.297159722"
"2-Cyclododecyl-1-(4-morpholinyl)ethanone","3138.1447156551","3138.1447156551","3138.1447156551","430877.627556213","436689.430896183","359286.69865943"
"2-Hydroxy-3-oxopropanoate","427817.150803565","587540.159132838","491793.440817461","1075056.02989422","1185980.74374851","1191723.81940083"
