"name","area_2_1_15_J17_noOTA","area_2_2_15_J17_noOTA","area_2_3_15_J17_noOTA","area_2_1_15_J25_noOTA","area_2_2_15_J25_noOTA","area_2_3_15_J25_noOTA","area_10_1_15_J17_OTA","area_10_2_15_J17_OTA","area_10_3_15_J17_OTA","area_10_1_15_J25_OTA","area_10_2_15_J25_OTA","area_10_3_15_J25_OTA"
"group","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA"
"(3alpha,5alpha,9xi,14xi,25R)-Spirostan-3-yl nonanoate","2353687.4523796","2232145.15980314","1667630.55579225","212715.36037623","98923.5548939191","151150.061260865","61506.5417231863","36532.8191303761","57168.4866064833","141374.471024147","30227.2300034897","703568.483423101"
"(3R)-beta-Leucine","61123707.8991463","50117537.0234826","45103616.0332184","34788818.587737","24778904.5023982","33080810.8321894","24216845.8574095","32664694.9318972","40864549.9484457","48878438.9626755","22705231.6610539","17109458.0379538"
"(3R,4S,bR)-3,4,4a,5,6,7-Hexahydro-4,8-dihidroxy-3-methyl-1H-2-benzopyran-1-one","7514.90071748157","11537.0867946841","4547.87937498335","121873.008935498","132227.770959864","95910.8393717291","46336.0153186101","34983.7100757375","45570.4331285459","75013.9956750097","53401.6392160094","45541.3864881178"
"(3S)-3_6-Diaminohexanoate","271421.177680076","88856.4031260339","68731.8651599219","84910.3903243706","62166.9148250147","462309.610871743","3255465.32379452","82829.7907032656","112311.789754708","83429.1173355324","43630.9250481971","132339.076011438"
"(4E)-2-Oxohexenoicacid","17269160.6630015","12791508.6627834","11926957.1501478","67155760.3352083","55966686.235995","40865676.4114019","140130493.909485","166993603.099847","140495209.234715","80021057.6586769","79794885.3235453","99903274.5313338"
"(4S)-4,8,10-trihydroxy-10-methyldodec-2-en-1,4-olide","42363.5182407269","53213.3234012387","32297.6162113581","13935.8454647456","17161.2047736196","3168.65256852477","491237.558311566","697968.886096059","461793.531355324","193854.033996429","155405.370684397","75776.4122535479"
"(4S)-4_6-Dihydroxy-2_5-dioxohexanoate","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","1406725.83242796","595643.112082249","1792068.26171064","1800035.96202493","1813832.9694773","1694661.55656698"
"(6alpha,11beta)-11,17-Dihydroxy-6-methyl-3,20-dioxopregna-1,4-dien-21-yl N-{[(2-methyl-2-propanyl)oxy]carbonyl}glycinate","552274.029443179","528262.315291278","704127.565243688","576202.316273862","473680.903198476","423091.225208011","885675.509866504","459242.579917824","657362.25702929","1233240.50075191","1262363.8269463","1003849.54183733"
"(6RS,10RS)-6,10-dimethylbicyclo[4.4.0]dec-1-en-3-one","3489446.74894366","3407606.71423635","2631501.59916879","671553.458326144","780049.479412212","745279.370922969","147539.745920239","68632.9440153968","90465.0880391014","350983.319884896","111506.926507739","548434.658883599"
"(6Z,9S)-3,4-trans-9-hydroxy-3-methyldodec-6-en-4-olide","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","410078.177837799","435430.605444409","337147.629136716","478962.77875558","477881.550539693","433420.533247721"
"(7S_8S)-DiHODE","22761960.7636302","19399293.9961773","16378923.2541635","3641823.41189364","4005634.22170709","3760158.71857811","3515255.59011183","3237207.28961758","3147611.52447756","6915467.96880251","2973289.48952647","15541890.2181073"
"(9E,11Z)-13-Oxo-9,11-octadecadienoic acid","4840259.14399484","4408149.33619081","3123398.05603053","847582.208906694","796756.287665408","417775.025727873","368368.948778489","326437.139578347","365338.356253573","1170189.93075297","301736.56815462","1934803.17597168"
"(9Z)-(13S)-12_13-Epoxyoctadeca-9_11-dienoicacid","162974642.740166","172043561.293059","123571397.790808","25683236.4688512","21630719.9001675","20521019.2735184","19258020.4019861","15290713.1716275","16014696.0448899","32618025.0925659","13874781.193","54400493.3503813"
"(9Z)-Tetradecenoicacid","556059.69321019","464478.835537567","440841.559729704","456335.752582001","234474.667088416","324917.437763239","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606"
"(9Z_15Z)-(13S)-12_13-Epoxyoctadeca-9_11_15-trienoicacid","27865723.4857834","29217621.1650814","16948676.3985698","5055152.50926299","8199521.37201479","7157525.21201223","3711071.80201822","3206378.33690058","2852063.39455697","7322497.77086238","2872114.6509521","9076932.30326499"
"(E)-2-Phenylethenamine","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","190158.402197067","154626.948195419","135614.249872339","195605.035321714","147062.405964742","204990.052411132"
"(E)-4-hydroxyphenylacetaldehydeoxime","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","1388205.37186218","1460354.87522855","786747.834407532","7654031.13798052","4668314.77120759","1300870.40133536"
"(E)-ethyl 8-oxooctadec-9-enoate","26562.9030656951","6776.7109279746","5771.70049845237","1671169.18486941","115962.298242086","47643.1698436899","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606"
"(ethylenedinitrilo)tetraacetonitrile","101108.22260054","105113.637135427","95117.4021504483","103230.366206902","103763.777867543","103288.594493446","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606"
"(R)-2-Hydroxyglutarate","51282254.7917731","50248385.7832096","49501396.7345313","51897737.7946652","49338081.1489746","61423890.9446107","63775564.0275072","63685937.1441638","61941891.2554431","62139374.9386035","64239572.4672118","72658363.749279"
"(R)-2_3-Dihydroxy-3-methylbutanoate","621684.398806377","491341.448290365","462546.103416689","582516.294793301","631773.313630861","729872.38731655","16293854.3607681","20582518.774024","15400289.3716609","18447456.5667213","25240588.8216498","27337575.0201793"
"(R)-2_3-Dihydroxy-3-methylpentanoate","789109.1369599","437887.066904363","629478.76086339","658968.43580517","535182.570369986","599720.204210618","504513.689055526","568749.95906681","577156.433989308","1027647.71973654","547635.615794647","955886.547909823"
"(R)-3-Amino-2-methylpropanoate","5785505.47313705","3513390.10910789","3154065.7567629","4410894.33149092","4056663.37267528","4387016.68011172","1559279.05739043","1305099.13319203","2193557.89956618","1846670.88519235","219172.155380664","275503.664186754"
"(R)-3-Hydroxybutanoate","1056246.34648009","852315.384209376","904882.094967919","141759.746933381","269070.085262367","317951.196753568","15805260.6447347","16548721.396361","13547801.5095732","3352804.07711324","3580334.31995749","4826394.6844453"
"(R)-4-Dehydropantoate","6218522.58602994","5568112.52891308","3592102.10620405","11283006.7542893","10143890.0352289","8358032.33220137","29825470.266693","59877251.8599954","35138333.2458923","20100072.6487364","16107817.4329897","20843768.297618"
"(R)-Malate","848228.19397847","719197.044750611","631913.573191969","281533.006339077","267448.56185151","560005.588066926","1844507.00686337","1984371.15250577","1704408.09213704","720676.762357182","380077.026038812","335743.40311694"
"(R)-Pantolactone","1174918.88817934","1305647.05543145","1028038.14636596","156948.12881135","1212953.25844749","1031832.0088578","874746.474403927","467734.117244246","991971.207462671","727386.678881507","809853.136272859","1304917.89467387"
"(R)-Prunasin","2428.43375820127","2411.94593938223","2462.24906084621","2442.20418944432","2461.07489859473","2406.17282606091","213567.541145683","171235.709519002","120526.743727495","364005.829593293","738987.068063719","753290.671608959"
"(R_R)-Tartaricacid","1412258.67512092","1630356.2541225","1324512.91246524","260461.907437314","1364559.96465345","1386397.20372659","1786329.17418535","1789297.97375442","1793511.97186595","1749126.67694675","1287110.24332157","2003007.96104084"
"(S)-1-Pyrroline-5-carboxylate","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","4840441.38198181","1415733.73281983","1816902.45346085","4620805.79693201","4140544.31902389","3707020.1670777"
"(S)-2-Acetolactate","61788.887654639","699010.711785327","49842.2916462154","119857.879879673","204591.825470743","83732.1610384112","230763.655257626","95026.1513820471","334178.230734768","230974.701040346","296499.302210551","183969.054895313"
"(S)-4-(4-(5-(Aminomethyl)-2-oxooxazolidin-3-yl)phenyl)morpholin-3-one","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","35610.917884793","65429.1899973642","63134.8230869315","690617.805160919","317946.074042286","63706.4760964062"
"(S)-4-Amino-5-oxopentanoate","1702359.54129465","2491766.22026023","3394183.76516133","437579.514576682","363662.696603777","359142.70085104","815826.780407676","959807.850120789","828353.161020702","516077.589394963","806318.124086141","470773.934259088"
