"name","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cE_noOTA","cE_noOTA","cE_noOTA","cE_OTA","cE_OTA","cE_OTA"
"[FAamino(5:0)]2S-amino-pentanoicacid","3138.1447156551","3138.1447156551","3138.1447156551","8850260.90337632","9850061.91802234","10503595.475397"
"[FAhydroxy(18:0)]12_13-dihydroxy-9Z-octadecenoicacid","16781282.182742","12245279.7135262","17222584.9152443","4180275.74659046","5380264.3681867","4962052.83850197"
"[FAhydroxy(20:3)]11_12-dihydroxy-5Z_8Z_14Z-eicosatrienoicacid","3138.1447156551","3138.1447156551","3138.1447156551","154068.413068907","202990.828079348","178623.617516898"
"[FAhydroxy(4:0)]N-(3S-hydroxy-butanoyl)-homoserinelactone","3138.1447156551","3138.1447156551","3138.1447156551","300136.790773824","860294.573178197","1366007.15192196"
"[FAtrihydroxy(18:0)]9_10_13-trihydroxy-11-octadecenoicacid","1480834.5574693","1207272.85797196","1602964.92003323","606404.919194968","689482.679308738","571498.44860443"
"[STtrihydrox]3alpha_11beta_21-5alpha-trihydroxy-pregnane-20-one","119516.134282803","142430.346118349","151674.544991954","1954911.8215237","1324251.84629474","926586.943328934"
"1-(2-Cyanoethyl)-4-piperidinecarboxamide","119234.704108986","385718.761480373","416498.99261003","3138.1447156551","3138.1447156551","3138.1447156551"
"1-(2-Naphthyl)ethanol","228913.260967986","215273.883844739","173037.311270064","3138.1447156551","3138.1447156551","3138.1447156551"
"1-(4-{4-Methyl-5-[(4-methyl-1-piperazinyl)methyl]-4H-1,2,4-triazol-3-yl}-1-piperidinyl)ethanone","3138.1447156551","3138.1447156551","3138.1447156551","415618.804504184","578923.074353509","569029.043091765"
"1-(4-Hydroxyphenyl)-2-aminoethanol","67795363.4921691","70021843.8927846","92846590.1548655","851360.331012143","1043207.75678332","711331.609095282"
"1-(Dimethylsilyl)-1H-pyrrole","766380724.975262","773888592.466837","755894379.543855","720106397.201892","737119305.233662","735228674.515034"
"1-[(3aR,6R,7aS)-6-(Cyclopropylmethoxy)-3a-methoxyoctahydro-1H-indol-1-yl]-2-phenylethanone","3138.1447156551","3138.1447156551","3138.1447156551","575000.277585375","978554.440156604","804692.273337013"
"1-[(3R,4R)-3-(1-Azepanylmethyl)-4-(hydroxymethyl)-1-pyrrolidinyl]-2-hydroxyethanone","253567.379508446","410855.047060635","455944.779186923","3138.1447156551","3138.1447156551","3138.1447156551"
"1-[(5-Chloro-2-thienyl)sulfonyl]-4-piperidinone","27889.1213970049","30438.2936977284","29666.2301748697","3138.1447156551","3138.1447156551","3138.1447156551"
"1-[(7S,11R,12R,13R)-9-Acetyl-12,13-dihydroxy-7-isobutyl-11-methoxy-1-oxa-6,9-diazacyclotetradecan-6-yl]-2-(1,3-dihydro-2H-isoindol-2-yl)ethanone","3138.1447156551","3138.1447156551","3138.1447156551","3804033.64598354","3632923.95303959","3160559.58400439"
"1-[(N-Acetylglycyl)(1,5-dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)amino]-N-cyclohexylcyclohexanecarboxamide","3138.1447156551","3138.1447156551","3138.1447156551","414952.46530352","441830.462819531","428497.721764705"
"1-{[1,2,4]triazolo[1,5-a]pyrimidine-2-carbonyl}-1H-imidazole","3138.1447156551","3138.1447156551","3138.1447156551","94831.669319724","89886.2995900432","103641.77196983"
"1-{5-[(4-methoxyphenyl)carbamoyl]-1,3,4-thiadiazole-2-carbonyl}piperidine-3-carboxylic acid","3138.1447156551","3138.1447156551","3138.1447156551","1220752.73319423","1168722.84506459","1138627.82289091"
"1-Boc-4-Vinylpiperidine","327121.867988462","439804.932871238","645195.917477471","516055.383491935","674223.885352293","518258.942092708"
"1-Cyclooctyl-4-phenyl-1-butanone","489289.382604814","491445.338713828","541553.712465592","560924.281101718","476326.991670528","435635.484550129"
"1-deoxynojirimycin","3138.1447156551","3138.1447156551","3138.1447156551","2757169.21672616","2556830.65664185","2633013.59352645"
"1-Ethynyl-4-octylbenzene","3138.1447156551","3138.1447156551","3138.1447156551","74898.1397333685","71160.8127555024","44054.5293004833"
"1-Methylpyrrolinium","3976844.80461089","3103049.7897666","3780365.23021195","354744.58779781","335315.287318301","784269.059056904"
"1-O-Acetyl-D-glucitol","168831.373044327","204409.29427124","150816.809828955","3138.1447156551","3138.1447156551","3138.1447156551"
"1-O-Tetradecanoyl-D-glucitol","3138.1447156551","3138.1447156551","3138.1447156551","681014.562136222","891522.509301881","781311.097378446"
"1-Palmitoyl-2-hydroxy-sn-glycero-3-PE","533839.602964297","289248.858202617","383785.228575689","3138.1447156551","3138.1447156551","3138.1447156551"
"1-palmitoylglycerol;MAG(16:0)","1536318.94203184","928090.571178616","2158305.37571412","675414.40577615","1770546.3531415","1552651.33459188"
"1-Palmitoylglycerophosphocholine","428715.486019592","294866.092123973","420768.063023213","434740.577483141","459394.613794249","383436.215792863"
"1-Pentofuranosyl-2,4(1H,3H)-pyrimidinedione","3138.1447156551","3138.1447156551","3138.1447156551","2148488.31519426","2733363.79878545","4549881.9169743"
"1-Phenylhept-3-en-4-one","1122496.6160205","871150.034372202","1033321.37825619","3138.1447156551","3138.1447156551","3138.1447156551"
"1-Pyrroline","3392156.81022751","2517504.68493848","3249691.11015878","3138.1447156551","3138.1447156551","3138.1447156551"
"1-Pyrroline-4-hydroxy-2-carboxylate","581046.900829623","1414024.13075893","1333710.8716842","3138.1447156551","3138.1447156551","3138.1447156551"
"1(2H)-Isoquinolinone","15179558.0594424","11744233.8598402","15760914.2018076","802329.117636812","1334137.2210012","1050537.77197012"
"1,1'-(1,4-Phenylene)bis{3-[2-(dimethylamino)ethyl]urea}","3138.1447156551","3138.1447156551","3138.1447156551","1883553.26290959","2132501.13098393","1927439.05376147"
"1,1,6-Trimethyl-1,2-dihydronaphthalene","212387.678574581","144218.17693215","215123.140910216","265954.485605361","454330.084772285","186166.54852504"
"1,2-Divinylbenzene","3138.1447156551","3138.1447156551","3138.1447156551","1608195.68038735","3765046.60686311","3656859.59614317"
"1,3-BIS(METHYLTHIO)-2-PROPANOL","3138.1447156551","3138.1447156551","3138.1447156551","4770204.79623776","5627883.58367493","8754497.78522147"
"1,3,5-Heptatriene","3138.1447156551","3138.1447156551","3138.1447156551","6000786.2351163","4999982.52082853","4654896.03850346"
"1,3,5-Norcaratriene","3138.1447156551","3138.1447156551","3138.1447156551","1917388.63205372","1552925.72537706","1793730.29515195"
"1,3,6-Octatriene","21970826.1500997","28012316.1749002","31483303.4908139","71727772.3162224","61624673.4723749","66332544.2963469"
"1,4-Cyclohexadiene","3138.1447156551","3138.1447156551","3138.1447156551","669179.491700551","845538.217079296","773243.985001314"
"1,4,8,11-Tetraazacyclotetradecan-1-ylphosphonic acid","3138.1447156551","3138.1447156551","3138.1447156551","104168.398653757","83626.7312228691","71190.8308047068"
"1,5-Pentanedithiol","3138.1447156551","3138.1447156551","3138.1447156551","51610728.4646385","58503776.8142079","86238976.7373301"
"1_2-Dihydrosantonin","3138.1447156551","3138.1447156551","3138.1447156551","199119.292191612","148655.339290017","130369.96875383"
"1_2_4-Trimethylbenzene","389674.315163968","426806.118623022","392755.458404532","2425844.50927032","2646035.79269564","2111241.58747913"
"1_4-Dihydroxy-2-naphthoate","3138.1447156551","3138.1447156551","3138.1447156551","174493.620261722","170784.383574609","221497.527450449"
"1_5-Anhydro-D-mannitol","3138.1447156551","3138.1447156551","3138.1447156551","781182.132606046","597976.785043463","668143.075764442"
"1_6_6-Trimethyl-2_7-dioxabicyclo[3.2.2]nonan-3-one","268098.921577656","259257.037331519","311384.426125511","2558211.88644974","2446868.22386892","2259784.60237251"
"10-(3,4-Dichlorobenzoyl)-11-[4-(diethylamino)phenyl]-3-(4-fluorophenyl)-2,3,4,5,10,11-hexahydro-1H-dibenzo[b,e][1,4]diazepin-1-one","375683.348738495","380301.028742068","345222.987249105","339182.133630106","346090.925949919","350207.462951699"
"10-hydroxydecanoicacid","3138.1447156551","3138.1447156551","3138.1447156551","183287.653757548","177386.143602178","219581.192677927"
"10-Methyldodecan-4-olide","3138.1447156551","3138.1447156551","3138.1447156551","1288583.34208523","1395699.76811957","1283857.20943946"
"10_16-Dihydroxyhexadecanoicacid","1376330.77912088","997488.712624685","1671805.99269727","511170.060951329","646648.7214793","496044.83120294"
"10E,14Z)-9-oxooctadeca-10,14-dien-12-ynoic acid","524273.782575033","511456.001257874","573307.76251337","3138.1447156551","3138.1447156551","3138.1447156551"
"11-(4-Hydroxybutoxy)undecanehydrazide","104477.50997126","166269.933359881","224330.271252595","199101.850439533","264941.069620613","238708.735105834"
"11-cis-Retinol","3138.1447156551","3138.1447156551","3138.1447156551","263300.554334964","308375.368782999","294502.516657571"
"12-Aminolauric Acid","139209.105554918","74054.8746657224","130448.769438564","3138.1447156551","3138.1447156551","3138.1447156551"
"12-Oxo phytodienoic acid","3138.1447156551","3138.1447156551","3138.1447156551","911198.382217018","617309.376137796","494364.492031781"
"13-Decyl-1,4,7,10-tetraoxa-13-azacyclopentadecane","575562.584040767","427911.322381898","535649.519990719","387322.016055009","437491.383490082","420473.416257054"
"15,16-Diisopropyl-3,6,7,10,13,14-hexamethylpentacyclo[10.2.1.1~5,8~.0~2,11~.0~4,9~]hexadeca-2(11),3,6,9,13-pentaene","3138.1447156551","3138.1447156551","3138.1447156551","119236.067404565","207088.979069261","265533.203987227"
"16-Heptadecynoic acid","3138.1447156551","3138.1447156551","3138.1447156551","132228.32337114","169800.833958164","160398.163593857"
"16-Methoxy-16-oxohexadecanoic acid","3138.1447156551","3138.1447156551","3138.1447156551","2234233.03745928","2850382.41793124","2989134.55243911"
"17a-Estradiol","792913.287138283","1177846.99100796","779071.12946135","1639145.69857643","1006771.32809887","772671.893670716"
"18S-hydroxyneodihydroprotolichesterinic acid","515070.862151957","464450.896918014","598025.695770862","185635.427981566","193683.933898982","143925.371411886"
"2'-Deoxyinosine","3138.1447156551","3138.1447156551","3138.1447156551","5708713.96861661","7158408.66460062","6642221.96795124"
"2-((4-Chlorophenyl)sulfonyl)ethanethioamide","3138.1447156551","3138.1447156551","3138.1447156551","22986.93802421","23679.5790702299","28521.7824143487"
"2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid","688293.071869134","422482.445039707","585776.418239536","3138.1447156551","3138.1447156551","3138.1447156551"
"2-(2-Thienyl)piperidine","328973.491137995","182303.80183962","252980.599328654","3138.1447156551","3138.1447156551","3138.1447156551"
"2-(2,3-Dihydro-1-benzofuran-5-yl)ethanesulfonamide","1459869.71799652","1271228.59173964","1945516.25177476","3138.1447156551","3138.1447156551","3138.1447156551"
"2-(2,4-Dimethoxyphenyl)-N-(4-{[(4-methylphenyl)sulfonyl]amino}phenyl)-4-quinolinecarboxamide","817363.511635398","789374.736836859","774690.487166384","836868.303276025","806259.546026675","785859.311918043"
"2-(3'-methylthio)propylmalate","65878180.1059374","62482087.1096125","63968143.2591974","65076349.6202463","66532645.8257987","65746958.6752807"
"2-(4-aminophenylthio)acetic acid","4091815.08189044","3001926.95649325","5115359.79712368","3138.1447156551","3138.1447156551","3138.1447156551"
"2-(4-Methyl-4H-1,2,4-triazol-3-yl)ethanamine","3138.1447156551","3138.1447156551","3138.1447156551","215829.779881302","205559.645498171","195386.114071042"
"2-(Allylsulfonyl)ethanamine","3138.1447156551","3138.1447156551","3138.1447156551","322109.922174259","454469.851179885","1098110.63509125"
"2-(beta-D-Glucosyl)-sn-glycerol","3138.1447156551","3138.1447156551","3138.1447156551","1204536.30649118","1182946.95407111","1554391.98616863"
"2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine","3138.1447156551","3138.1447156551","3138.1447156551","193467.829367122","341439.353364773","321836.92210459"
"2-(Hydrazinocarbothioyl)hydrazinecarboxamide","4712264.2740208","2894968.95198154","2891320.01003546","3248517.53111042","3412389.97117099","4638749.48267466"
"2-(morpholinomethyl)-4-(2-phenyldiaz-1-enyl)phenol","3138.1447156551","3138.1447156551","3138.1447156551","494592.762154246","697584.271411367","694859.741522424"
"2-(Phenylsulfanyl)cyclohexanone","215189.722941635","145139.63412001","175136.124054576","3138.1447156551","3138.1447156551","3138.1447156551"
"2-(tert-butyl)-1,3-thiazolane-4-carboxylic acid","1340463.21229977","729951.403036892","695007.621278736","3138.1447156551","3138.1447156551","3138.1447156551"
"2-[(1E)-1,3-Butadien-1-yl]-1H-pyrrole","3138.1447156551","3138.1447156551","3138.1447156551","1262141.64546041","1452856.69578188","2689076.12269812"
"2-[(DIOCTYLCARBAMOYL)METHOXY]ACETIC ACID","295879.921809583","295957.755403314","333533.609448696","571051.238826369","581785.192703104","537621.659662634"
"2-[2-formyl-5-(methoxymethyl)-1H-pyrrol-1-yl]acetic acid","3138.1447156551","3138.1447156551","3138.1447156551","389865.866911272","500916.714663213","599728.83885477"
"2-{[4-(Cyclohexylamino)-1-methyl-1H-pyrazolo[3,4-d]pyrimidin-6-yl](ethyl)amino}ethanol","483918.03125516","527899.209434147","735073.959138528","2480587.62363089","2528814.0149302","2615677.4033615"
"2-{1-[(TERT-BUTOXY)CARBONYL]AZETIDIN-3-YL}PROPANEDIOIC ACID","3138.1447156551","3138.1447156551","3138.1447156551","255620.351353587","258955.65944593","261095.692791585"
"2-Chloro-7,7-dimethyl-7,8-dihydro-5H-pyrano[4,3-b]pyridine-3-carboxamide","3330445.13925109","3207828.82488229","3237930.64305678","3138.1447156551","3138.1447156551","3138.1447156551"
"2-Chloro-N-[1-(5-methyl-1,2,4-oxadiazol-3-yl)cyclohexyl]acetamide","3138.1447156551","3138.1447156551","3138.1447156551","285299.733532838","291817.030308923","295870.297159722"
"2-coumarate","354929.284798552","241272.949387532","289461.946616484","3138.1447156551","3138.1447156551","3138.1447156551"
"2-Cyclododecyl-1-(4-morpholinyl)ethanone","118767.503364236","114997.133834318","139068.656211788","430877.627556213","436689.430896183","359286.69865943"
"2-Hydrazino-4-methoxy-6-(4-morpholinyl)-1,3,5-triazine","9815616.50860549","9512376.2926845","10713364.4530481","3138.1447156551","3138.1447156551","3138.1447156551"
"2-Hydroxy-3-oxopropanoate","3138.1447156551","3138.1447156551","3138.1447156551","1075056.02989422","1185980.74374851","1191723.81940083"
"2-Hydroxyhepta-2_4-dienedioate","3138.1447156551","3138.1447156551","3138.1447156551","917731.401753656","959180.040324264","1032144.57038343"
"2-Imino-N-[2-(4-methoxyphenyl)ethyl]-10-methyl-1-[3-(4-morpholinyl)propyl]-5-oxo-1,5-dihydro-2H-dipyrido[1,2-a:2',3'-d]pyrimidine-3-carboxamide","3138.1447156551","3138.1447156551","3138.1447156551","2780579.01222374","1336925.88589298","1816104.65818822"
"2-isopentylquinoline-4-one","3138.1447156551","3138.1447156551","3138.1447156551","122738.813920419","168864.099836907","151291.573893458"
"2-Isopropylnaphthalene","268569.201062862","180179.047357855","230917.521389282","3138.1447156551","3138.1447156551","3138.1447156551"
"2-Methyl-2-propanyl [(1-{[ethyl(methyl)sulfamoyl]amino}-3-methyl-2-butanyl)oxy]carbamate","3138.1447156551","3138.1447156551","3138.1447156551","140829.887085561","226680.824845445","199917.028763143"
"2-Methyl-2-propanyl [(14-amino-3,6,9,12-tetraoxatetradec-1-yl)oxy]carbamate","483876.335215433","634448.799895147","442355.192418394","3138.1447156551","3138.1447156551","3138.1447156551"
"2-Methyl-2-propanyl 1,4,10-trioxa-7,13-diazacyclopentadecane-7-carboxylate","832462.863003147","844742.867332994","1191873.77758094","3138.1447156551","3138.1447156551","3138.1447156551"
"2-Methyl-2-propanyl 4-(3-amino-1H-1,2,4-triazol-5-yl)-1-piperazinecarboxylate","3138.1447156551","3138.1447156551","3138.1447156551","138128.249628773","195733.888048348","171321.350303174"
"2-Methyl-2-propanyl 4-[(4-{[3-(dimethylamino)-2,2-dimethylpropyl]carbamoyl}-1-piperidinyl)carbonyl]-1-piperidinecarboxylate","1397392.62080381","1230491.07879214","1242176.0754815","658390.658955088","658648.845111312","608208.19835262"
"2-methyl-2,4-hexadiene","1016742.49338549","649339.201625061","1324994.42667455","3138.1447156551","3138.1447156551","3138.1447156551"
"2-Methylserine","1037881.41107811","692273.354690098","887611.630550059","3138.1447156551","3138.1447156551","3138.1447156551"
"2-Oxo-3-piperidinecarbohydrazide","993139.573963169","1291169.98792717","1836896.56076998","3138.1447156551","3138.1447156551","3138.1447156551"
"2-Oxo-delta3-4_5_5-trimethylcyclopentenylacetate","351354.715334833","288382.387701073","236546.75168266","4562525.07158051","3520116.73534367","3315528.96954302"
"2-Oxooctadecanoicacid","2187487.8092971","1564042.28116046","2920506.29290753","686504.343154029","1012481.11938777","1010162.40062929"
"2-Oxovalericacid","3138.1447156551","3138.1447156551","3138.1447156551","12910004.9881399","19090426.8615913","18158546.0042265"
"2-Phenylpropan-2-ol","3138.1447156551","3138.1447156551","3138.1447156551","7751825.75327524","6059255.89716519","5628398.76950607"
"2-tert-Butoxycarbonylamino-6-formylamino-hexanoic acid","3138.1447156551","3138.1447156551","3138.1447156551","722462.784061166","1416959.12015386","1691226.02445281"
"2(alpha-D-Mannosyl)-D-glycerate","242285.353040154","183914.660209013","246154.898146722","524556.741131201","609528.522881098","632852.050762931"
