"name","area_11_1_856_S25","area_11_2_856_S25","area_11_3_856_S25","area_11_1_15_S25","area_11_2_15_S25","area_11_3_15_S25","area_11_1_92_S25","area_11_2_92_S25","area_11_3_92_S25","area_2_1_15_J17","area_2_2_15_J17","area_2_3_15_J17","area_2_1_15_J25","area_2_2_15_J25","area_2_3_15_J25","area_2_1_15_S17","area_2_2_15_S17","area_2_3_15_S17","area_2_1_15_S25","area_2_2_15_S25","area_2_3_15_S25","area_8_1_15_S25","area_8_2_15_S25","area_8_3_15_S25","area_10_1_15_J17","area_10_2_15_J17","area_10_3_15_J17","area_10_1_15_J25","area_10_2_15_J25","area_10_3_15_J25","area_11_1_856_J25","area_11_2_856_J25","area_11_3_856_J25","area_11_1_15_J25","area_11_2_15_J25","area_11_3_15_J25","area_11_1_92_J25","area_11_2_92_J25","area_11_3_92_J25","area_8_1_15_S17","area_8_2_15_S17","area_8_3_15_S17"
"group","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA"
"(6RS,10RS)-6,10-dimethylbicyclo[4.4.0]dec-1-en-3-one","193112.545672586","155498.722246212","184013.070428265","171356.16395346","179816.788196288","162707.019432024","316216.122565871","301735.54434426","316976.524627132","3489446.74894366","3407606.71423635","2631501.59916879","671553.458326144","780049.479412212","745279.370922969","746982.350168263","542532.705542893","929377.078629349","619233.902210582","700258.685217775","677640.46534211","195936.807552625","221117.312485481","176861.944991764","147539.745920239","68632.9440153968","90465.0880391014","350983.319884896","111506.926507739","548434.658883599","333526.258635704","247388.860692318","306720.682406901","301656.818346913","217139.16774609","185602.870916098","426480.886667643","505083.715059377","525298.5733321","154642.802038978","182057.597439248","173014.16885304"
"(7S_8S)-DiHODE","10908482.8088789","12966945.4775944","18334038.7793099","7638069.96751434","8594842.88457837","9531223.33873111","11267145.2522087","11931292.5879154","11745480.9208566","22761960.7636302","19399293.9961773","16378923.2541635","3641823.41189364","4005634.22170709","3760158.71857811","5237587.48167533","5500436.96880075","5895607.08252887","5729767.91802483","7529551.3360449","5872615.2034255","5012035.87878227","5134746.99999075","4778639.68033966","3515255.59011183","3237207.28961758","3147611.52447756","6915467.96880251","2973289.48952647","15541890.2181073","9915243.1589651","3489548.53569197","5826900.87349825","6864430.18276674","3332109.39012463","4817180.38044841","9312528.28683455","13917607.3482324","11258126.6626357","3797204.7962469","3950483.06709247","4735645.80455521"
"(9Z)-(13S)-12_13-Epoxyoctadeca-9_11-dienoicacid","33484908.5736058","35324905.6608019","50106254.2727769","27125981.6318916","23746355.6404814","22779829.3102793","31786340.4252466","30226683.3525699","34411564.9062772","162974642.740166","172043561.293059","123571397.790808","25683236.4688512","21630719.9001675","20521019.2735184","12692769.9479497","12379582.9319459","16628217.8906418","16908664.4783792","22980843.03616","22020455.3942138","17183749.9908892","26918410.5999514","19323090.1427835","19258020.4019861","15290713.1716275","16014696.0448899","32618025.0925659","13874781.193","54400493.3503813","34053265.9442807","12177642.2481861","20338990.087463","29611221.0457465","13166097.175205","19616121.5110846","28082750.6538986","46792428.7770716","30894887.5832562","27377067.1075851","28482938.4065997","27030247.4272542"
"(9Z)-Tetradecenoicacid","689142.593667606","753831.140471717","1001364.96674563","217772.770404895","441861.413645537","500086.982013255","599731.821530682","602895.686855686","591481.644769451","556059.69321019","464478.835537567","440841.559729704","456335.752582001","234474.667088416","324917.437763239","951013.410361832","703529.535806569","1217214.84681446","610402.145459778","908531.685949464","701533.803058823","568600.743996278","561263.306947424","604277.569620964","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977"
"(9Z_15Z)-(13S)-12_13-Epoxyoctadeca-9_11_15-trienoicacid","8217161.57250928","10556772.6475693","14086526.0002128","7137197.72273395","6390986.19449014","7452712.37362329","12580094.5767421","8693796.58616888","10737447.1620389","27865723.4857834","29217621.1650814","16948676.3985698","5055152.50926299","8199521.37201479","7157525.21201223","2818640.16843378","3208781.59973617","3171917.12510013","2578983.0149478","4758897.03530881","4291480.413797","1800479.25765098","2254543.38594227","1610370.70184162","3711071.80201822","3206378.33690058","2852063.39455697","7322497.77086238","2872114.6509521","9076932.30326499","7236744.64447864","3789626.57210451","4945317.36121959","7217781.90543723","2703182.82905619","4290159.06224247","12078210.5996694","23772604.669794","11750891.6988864","4879330.07734983","4749652.8276998","4408131.97794735"
"(E)-4-hydroxyphenylacetaldehydeoxime","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","1388205.37186218","1460354.87522855","786747.834407532","7654031.13798052","4668314.77120759","1300870.40133536","10742060.6013884","39235910.0944997","37873413.252066","14932377.7827987","1527440.89644551","12746287.6379226","2210590.05237036","4663315.77643072","1862226.77910614","3942091.00946667","6148023.93361909","4402997.60777408"
"(R)-2-Hydroxyglutarate","64659986.4016035","61984913.4076663","65304210.9229251","65804539.7854876","66954605.7832403","64507187.7195418","66862122.1940524","66558731.3467532","67307452.4864589","51282254.7917731","50248385.7832096","49501396.7345313","51897737.7946652","49338081.1489746","61423890.9446107","47259297.3117674","45065227.8762598","45451549.3711652","52675480.6536701","54428257.4279751","58303572.3592157","57760088.8011306","52407483.5024888","61935044.9804318","63775564.0275072","63685937.1441638","61941891.2554431","62139374.9386035","64239572.4672118","72658363.749279","69817175.2554044","62896106.4505543","64291551.973753","64819126.0853657","66720570.0367617","65525716.4839796","64730900.5565831","65345507.0462708","65247758.4038243","55215428.4165213","55148190.3089592","56042946.6160345"
"(R)-2_3-Dihydroxy-3-methylbutanoate","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","16293854.3607681","20582518.774024","15400289.3716609","18447456.5667213","25240588.8216498","27337575.0201793","50052206.1887635","35855314.4047304","44703290.921052","21495923.9420641","26632593.2711549","22579847.0203698","11253382.2236057","17102441.3351815","12306351.9664477","6411625.01600719","5644418.96076535","7397731.40287609"
"(R)-2_3-Dihydroxy-3-methylpentanoate","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","504513.689055526","568749.95906681","577156.433989308","1027647.71973654","547635.615794647","955886.547909823","539958.292582743","397786.94895773","669991.121942877","816362.411272029","485481.310788826","1519503.56696547","506739.299743576","1459886.93699241","339585.324405634","1207008.85160403","949153.174541472","769252.619442917"
"(R)-4-Dehydropantoate","14923403.8438882","27023425.299912","15518452.6514574","23008909.4317507","19759686.8333863","26743569.1862876","10111221.4077255","10575752.4751814","12366420.8780854","6218522.58602994","5568112.52891308","3592102.10620405","11283006.7542893","10143890.0352289","8358032.33220137","1040135.25551726","1028443.01792366","1185746.24247807","1459202.39201933","2137332.49425681","1531025.24845861","5313550.92868781","4964651.0578535","5449725.62225356","29825470.266693","59877251.8599954","35138333.2458923","20100072.6487364","16107817.4329897","20843768.297618","13475508.7998113","12062504.3182367","18421968.3886485","27537011.5520069","29919905.3101209","61226150.7552834","8745147.123795","36880057.1826497","5550928.60495012","12180172.0830242","16222599.6233085","16162810.4152758"
